symbol,timeframe,time,open,high,low,close,volume,bid,ask,spread,nmp_low,nmp_high
TRAVEL,M5,2026.05.01 21:50:00,6029.77000,6032.74000,6027.59000,6027.66000,492,5974.50000,5987.75000,1325.00,0,0
TRAVEL,M5,2026.05.01 21:55:00,6028.17000,6034.05000,6021.26000,6022.95000,470,5974.50000,5987.75000,1325.00,0,0
TRAVEL,M5,2026.05.01 22:00:00,6022.95000,6032.07000,6021.93000,6028.67000,525,5974.50000,5987.75000,1325.00,0,0
TRAVEL,M5,2026.05.01 22:05:00,6028.73000,6037.55000,6025.74000,6029.87000,466,5974.50000,5987.75000,1325.00,0,0
TRAVEL,M5,2026.05.01 22:10:00,6029.81000,6033.57000,6025.21000,6026.65000,368,5974.50000,5987.75000,1325.00,0,0
TRAVEL,M5,2026.05.01 22:15:00,6026.65000,6027.88000,6018.67000,6024.35000,442,5974.50000,5987.75000,1325.00,0,0
TRAVEL,M5,2026.05.01 22:20:00,6024.24000,6028.91000,6019.16000,6022.28000,443,5974.50000,5987.75000,1325.00,0,0
TRAVEL,M5,2026.05.01 22:25:00,6022.34000,6028.16000,6016.57000,6019.65000,502,5974.50000,5987.75000,1325.00,0,0
TRAVEL,M5,2026.05.01 22:30:00,6019.65000,6023.87000,6011.91000,6014.52000,519,5974.50000,5987.75000,1325.00,0,0
TRAVEL,M5,2026.05.01 22:35:00,6014.52000,6030.26000,6014.52000,6030.13000,481,5974.50000,5987.75000,1325.00,0,0
TRAVEL,M5,2026.05.01 22:40:00,6029.94000,6030.14000,6010.05000,6017.98000,432,5974.50000,5987.75000,1325.00,0,0
TRAVEL,M5,2026.05.01 22:45:00,6011.01000,6011.01000,5984.99000,5988.58000,524,5974.50000,5987.75000,1325.00,0,0
TRAVEL,M5,2026.05.01 22:50:00,5984.44000,5989.60000,5976.10000,5978.54000,171,5974.50000,5987.75000,1325.00,0,0
