detector,reference_price_type,tests,touch_rate,bounce_rate,false_break_rate,avg_reaction_pct,score
WILLIAMS14,midpoint,2,1.0,1.0,0.0,5.56995,0.7999999999999999
STOCH14,high,2,1.0,1.0,0.0,5.49985,0.7999999999999999
STOCH14,close,2,1.0,1.0,0.0,5.58405,0.7999999999999999
STOCH14,midpoint,2,1.0,1.0,0.0,5.56995,0.7999999999999999
STOCH14,open,2,1.0,1.0,0.0,5.5558000000000005,0.7999999999999999
WILLIAMS14,close,2,1.0,1.0,0.0,5.58405,0.7999999999999999
WILLIAMS14,high,2,1.0,1.0,0.0,5.49985,0.7999999999999999
WILLIAMS14,open,2,1.0,1.0,0.0,5.5558000000000005,0.7999999999999999
RSI14,high,2,1.0,1.0,0.0,4.8955,0.7968649999999999
RSI7,close,2,1.0,1.0,0.0,4.88105,0.7964315
RSI7,midpoint,2,1.0,1.0,0.0,4.8718,0.7961539999999999
RSI7,open,2,1.0,1.0,0.0,4.862550000000001,0.7958764999999999
RSI7,high,2,1.0,1.0,0.0,4.7836,0.7935079999999999
RSI21,close,2,1.0,1.0,0.0,4.7631499999999996,0.7928944999999998
RSI21,midpoint,2,1.0,1.0,0.0,4.7417,0.7922509999999999
RSI21,open,2,1.0,1.0,0.0,4.7202,0.7916059999999999
RSI14,close,2,1.0,1.0,0.5,4.8894,0.6966819999999999
RSI14,midpoint,2,1.0,1.0,0.5,4.86825,0.6960474999999999
RSI14,open,2,1.0,1.0,0.5,4.847,0.69541
ROC5,close,2,1.0,1.0,0.5,4.44245,0.6832734999999999
MOM10,close,2,1.0,1.0,0.5,4.44245,0.6832734999999999
MACD_HIST,close,2,1.0,1.0,0.5,4.44245,0.6832734999999999
MOM5,close,2,1.0,1.0,0.5,4.44245,0.6832734999999999
ROC10,close,2,1.0,1.0,0.5,4.44245,0.6832734999999999
MACD_HIST,midpoint,2,1.0,1.0,0.5,4.3748,0.681244
MOM5,midpoint,2,1.0,1.0,0.5,4.3748,0.681244
MOM10,midpoint,2,1.0,1.0,0.5,4.3748,0.681244
ROC10,midpoint,2,1.0,1.0,0.5,4.3748,0.681244
ROC5,midpoint,2,1.0,1.0,0.5,4.3748,0.681244
ROC5,high,2,1.0,1.0,0.5,4.3500499999999995,0.6805014999999999
ROC10,high,2,1.0,1.0,0.5,4.3500499999999995,0.6805014999999999
MOM5,high,2,1.0,1.0,0.5,4.3500499999999995,0.6805014999999999
MOM10,high,2,1.0,1.0,0.5,4.3500499999999995,0.6805014999999999
MACD_HIST,high,2,1.0,1.0,0.5,4.3500499999999995,0.6805014999999999
MACD_HIST,open,2,1.0,1.0,0.5,4.306900000000001,0.6792069999999999
ROC5,open,2,1.0,1.0,0.5,4.306900000000001,0.6792069999999999
MOM10,open,2,1.0,1.0,0.5,4.306900000000001,0.6792069999999999
ROC10,open,2,1.0,1.0,0.5,4.306900000000001,0.6792069999999999
MOM5,open,2,1.0,1.0,0.5,4.306900000000001,0.6792069999999999
ROC14,high,2,1.0,1.0,0.5,4.011,0.6703299999999999
MOM14,high,2,1.0,1.0,0.5,4.011,0.6703299999999999
MOM14,close,2,1.0,1.0,0.5,4.0003,0.670009
ROC14,close,2,1.0,1.0,0.5,4.0003,0.670009
CCI20,close,2,1.0,1.0,0.5,3.8577500000000002,0.6657325
CCI20,midpoint,2,1.0,1.0,0.5,3.7761,0.663283
CCI20,low,2,1.0,1.0,0.5,3.7644,0.662932
CCI20,high,2,1.0,1.0,0.5,3.75945,0.6627835
CCI20,open,2,1.0,1.0,0.5,3.69445,0.6608335
PRICE_BODY,close,2,1.0,1.0,0.5,3.4387499999999998,0.6531624999999999
PRICE_BODY,high,2,1.0,1.0,1.0,3.3626,0.5508779999999999
MOM14,midpoint,2,1.0,0.5,0.5,3.92175,0.4926525
ROC14,midpoint,2,1.0,0.5,0.5,3.92175,0.4926525
ROC14,open,2,1.0,0.5,0.5,3.84295,0.4902885
MOM14,open,2,1.0,0.5,0.5,3.84295,0.4902885
PRICE_BODY,low,2,1.0,0.5,0.5,3.4031,0.477093
PRICE_BODY,midpoint,2,1.0,0.5,0.5,3.3742,0.476226
WILLIAMS14,low,2,0.5,0.5,0.0,5.427099999999999,0.475
STOCH14,low,2,0.5,0.5,0.0,5.427099999999999,0.475
PRICE_BODY,open,2,1.0,0.5,0.5,3.30965,0.47428950000000003
RSI21,high,2,0.5,0.5,0.0,4.9602,0.47380599999999995
RSI7,low,2,0.5,0.5,0.0,4.8965499999999995,0.47189649999999994
RSI21,low,2,0.5,0.5,0.0,4.8069999999999995,0.4692099999999999
PRICE_BODY_ATR,close,2,1.0,1.0,1.0,0.63605,0.4690814999999999
RSI14,low,2,0.5,0.5,0.5,4.9169,0.3725069999999999
MACD_HIST,low,2,0.5,0.5,0.5,4.40895,0.35726849999999993
MOM10,low,2,0.5,0.5,0.5,4.40895,0.35726849999999993
ROC10,low,2,0.5,0.5,0.5,4.40895,0.35726849999999993
MOM5,low,2,0.5,0.5,0.5,4.40895,0.35726849999999993
ROC5,low,2,0.5,0.5,0.5,4.40895,0.35726849999999993
PRICE_BODY_ATR,low,2,1.0,0.5,1.0,0.7387,0.29716099999999995
PRICE_BODY_ATR,midpoint,2,1.0,0.5,1.0,0.56825,0.29204749999999996
PRICE_BODY_ATR,high,2,1.0,0.5,1.0,0.5473,0.291419
PRICE_BODY_ATR,open,2,1.0,0.5,1.0,0.5004,0.29001199999999994
ROC14,low,2,0.5,0.0,0.5,3.9598999999999998,0.16879699999999997
MOM14,low,2,0.5,0.0,0.5,3.9598999999999998,0.16879699999999997
